"Build number","KB number","Release Date","Cumulative Update number/Security ID","Modern Servicing Model","Includes latest security updates?","Includes latest security fixes?","Lifecycle stage","Notes regarding Lifecycle stage"
"14.0.3006.16","KB 4038634","43033","CU1","Cumulative Update",,,,
"14.0.3008.27","KB 4052574","43074","CU2","Cumulative Update",,,,
"14.0.3015.40","KB 4052987","43103","CU3","ADV180002 + CU3",,,,
"14.0.2000.63","KB 4057122","43103","17 RTM GDR ","ADV180002",,,,
"13.0.4202.2","3210089","42720","N/A",,,"No.","Mainstream Support Phase",
"13.0.4001.0","3182545","42689","N/A",,,"No.","Mainstream Support Phase",
"13.0.1728.2","3210111","42720","CU3",,,"Yes","Mainstream Support Phase",
"13.0.2186.6","3205413","42691","CU3",,,"Yes","Mainstream Support Phase",
"13.0.1722.0","3194716","42682","MS16-136",,,"Yes","Mainstream Support Phase",
"13.0.2186.6","3194717","42682","MS16-136/CU3",,,"Yes","Mainstream Support Phase",
"13.0.2164.0","3182270","42635","CU2",,"No","No.","Mainstream Support Phase",
"13.0.2149.0","3164674","42522","CU1",,"No","No.","Mainstream Support Phase",
"13.0.1708.0","3164398","42524","N/A",,"No, upgrade to the latest GDR build 11.0.5613.0 (MS15-058)","No.","Mainstream Support Phase",
"13.0.1601.5","N/A","42522","N/A",,"No","No.","Mainstream Support Phase",
"13.0.2193.0","KB3205052","42753","CU4",,"No","Yes","Mainstream Support Phase",
"13.0.4411.0","KB3208177","42753","CU1",,,"Yes","Mainstream Support Phase",
"13.0.4422.0","KB4013106","42814","CU2",,,"Yes","Mainstream Support Phase",
"13.0.2197.0","KB4013105","42814","CU5",,"No","Yes","Mainstream Support Phase",
"13.0.2204.0","KB4019914","42870","CU6",,"No","Yes","Mainstream Support Phase",
"13.0.4435.0","KB4019916","42871","CU3",,"Yes","Yes","Mainstream Support Phase",
"13.0.4446.0","KB4024305","42955","CU4",,"Yes","Yes","Mainstream Support Phase",
"13.0.2210.0","KB4024304","42955","CU7",,"Yes","Yes","Mainstream Support Phase",
"13.0.1742.0","3164398","42955","N/A",,"No.","Yes","Mainstream Support Phase",
"13.0.4206.0","4019089","42955","N/A",,"No.","Yes","Mainstream Support Phase",
"13.0.4451.0","(KB 4040714)","42996","CU5",,"Yes","Yes","Mainstream Support Phase",
"13.0.2213.0","(KB 4040713)","42996","CU8",,"Yes","Yes","Mainstream Support Phase",
"13.0.4457.0","(KB 4037354)","43069","CU6",,"yes","Yes","Mainstream Support Phase",
"13.0.4466.4","(KB 4057119)","43115","ADV180002 + CU7",,"yes","Yes","Mainstream Support Phase",
"13.0.4210.6","KB 4057118","43115","ADV180002",,"Yes","Yes","Mainstream Support Phase",
"13.0.1745.2","KB 4058560","43116","ADV180002",,"No.","yes","Mainstream Support Phase",
"13.0.2218.0","KB 4058559","43116","CU9 + ADV180002",,,"Yes","Mainstream Support Phase",
"12.0.5538.0","3204388","42732","CU3",,,"Yes","Mainstream Support Phase","Support phase ends 12 months after the next service pack releases or at the end of the product's support lifecycle (7/9/2024), whichever comes first."
"12.0.5540.0","4013103","Feb 21 2017 ","CU4",,,"Yes","Mainstream Support Phase","Support phase ends 12 months after the next service pack releases or at the end of the product's support lifecycle (7/9/2024), whichever comes first."
"12.0.5203.0","3194714","42682","MS16-136",,,"Yes","Mainstream Support Phase","Support phase ends 12 months after the next service pack releases or at the end of the product's support lifecycle (7/9/2024), whichever comes first."
"12.0.5532.0","3194718","42682","MS16-136",,,"Yes","Mainstream Support Phase","Support phase ends 12 months after the next service pack releases or at the end of the product's support lifecycle (7/9/2024), whichever comes first."
"12.0.5522.0","3188778","42661","CU2",,,"Yes","Mainstream Support Phase","Support phase ends 12 months after the next service pack releases or at the end of the product's support lifecycle (7/9/2024), whichever comes first."
